""      ,"ZPID"       ,"address"                                                           ,"price"    ,"bed" ,"bath" ,"Sq.Feet" ,"city"                 ,"zip-code"
"1"     ,"2069619841" ,"498 Parker Ave SE, Decatur, GA 30032"                              ,"324900"   ,"2"   ,"1"    ,"1132"    ,"Decatur"              ,"30032"
"2"     ,"35834594"   ,"971 Washington Pl SW, Atlanta, GA 30314"                           ,"199000"   ,"2"   ,"1"    ,"1000"    ,"Atlanta"              ,"30314"
"3"     ,"14556814"   ,"3088 Boxwood Dr, Atlanta, GA 30345"                                ,"529900"   ,"4"   ,"3"    ,"2516"    ,"Atlanta"              ,"30345"
"4"     ,"82612056"   ,"3552 Oakshire Way SE, Atlanta, GA 30354"                           ,"365000"   ,"5"   ,"3"    ,"2795"    ,"Atlanta"              ,"30354"
"5"     ,"35844636"   ,"124 Scott St NW, Atlanta, GA 30314"                                ,"390000"   ,"3"   ,"3"    ,"1428"    ,"Atlanta"              ,"30314"
"6"     ,"14445853"   ,"1213 Bouldercrest Dr, Atlanta, GA 30316"                           ,"249900"   ,"2"   ,"1"    ,"1274"    ,"Atlanta"              ,"30316"
"7"     ,"65462097"   ,"800 Peachtree St NE APT 8604, Atlanta, GA 30308"                   ,"325000"   ,"2"   ,"2"    ,"1072"    ,"Atlanta"              ,"30308"
"8"     ,"35863787"   ,"89 Hollis Ter NW, Atlanta, GA 30311"                               ,"215000"   ,"3"   ,"3"    ,"1528"    ,"Atlanta"              ,"30311"
"9"     ,"2069891404" ,"870 Mayson Turner Rd NW UNIT 1414, Atlanta, GA 30314"              ,"165000"   ,"2"   ,"1"    ,"910"     ,"Atlanta"              ,"30314"
"10"    ,"35848346"   ,"976 Cascade Ave SW, Atlanta, GA 30311"                             ,"290000"   ,"3"   ,"2"    ,"1533"    ,"Atlanta"              ,"30311"
"11"    ,"2080284614" ,"32 Peachtree St NW APT 1507, Atlanta, GA 30303"                    ,"275000"   ,"2"   ,"2"    ,"0"       ,"Atlanta"              ,"30303"
"12"    ,"14457264"   ,"1556 Overland Ter, Atlanta, GA 30317"                              ,"799900"   ,"4"   ,"3"    ,"3625"    ,"Atlanta"              ,"30317"
"13"    ,"65461635"   ,"229 Ponce De Leon Ave NE APT 6, Atlanta, GA 30308"                 ,"259000"   ,"2"   ,"1"    ,"838"     ,"Atlanta"              ,"30308"
"14"    ,"69346191"   ,"1047 Fortress Ave SW, Atlanta, GA 30315"                           ,"275000"   ,"2"   ,"3"    ,"1050"    ,"Atlanta"              ,"30315"
"15"    ,"35931275"   ,"391 9th St NE, Atlanta, GA 30309"                                  ,"1249000"  ,"3"   ,"3"    ,"3141"    ,"Atlanta"              ,"30309"
"16"    ,"35857177"   ,"172 Dahlia Ave NW, Atlanta, GA 30314"                              ,"190000"   ,"3"   ,"2"    ,"891"     ,"Atlanta"              ,"30314"
"17"    ,"82612964"   ,"3136 Abbey Dr SW, Atlanta, GA 30331"                               ,"475000"   ,"5"   ,"3"    ,"4101"    ,"Atlanta"              ,"30331"
"18"    ,"69375671"   ,"1445 Monroe Dr NE APT F30, Atlanta, GA 30324"                      ,"290000"   ,"2"   ,"2"    ,"1060"    ,"Atlanta"              ,"30324"
"19"    ,"14557239"   ,"2327 Sherbrooke Dr, Atlanta, GA 30345"                             ,"510000"   ,"4"   ,"3"    ,"3520"    ,"Atlanta"              ,"30345"
"20"    ,"35885815"   ,"4367 Greenleaf Cir SW, Atlanta, GA 30331"                          ,"325000"   ,"4"   ,"2"    ,"1250"    ,"Atlanta"              ,"30331"
"21"    ,"35888478"   ,"20 Marietta St NW APT 3G, Atlanta, GA 30303"                       ,"210000"   ,"2"   ,"1"    ,"1130"    ,"Atlanta"              ,"30303"
"22"    ,"65451076"   ,"2725 Shoreland Dr SW, Atlanta, GA 30331"                           ,"249999"   ,"3"   ,"2"    ,"0"       ,"Atlanta"              ,"30331"
"23"    ,"69366476"   ,"6301 Selborn Dr SW, Atlanta, GA 30331"                             ,"410000"   ,"5"   ,"3"    ,"0"       ,"Atlanta"              ,"30331"
"24"    ,"35923873"   ,"2152 Main St NW, Atlanta, GA 30318"                                ,"397500"   ,"4"   ,"3"    ,"2472"    ,"Atlanta"              ,"30318"
"25"    ,"35878396"   ,"1674 Niskey Lake Rd SW, Atlanta, GA 30331"                         ,"398500"   ,"3"   ,"4"    ,"3480"    ,"Atlanta"              ,"30331"
"26"    ,"35883318"   ,"1577 Jonesboro Rd SE, Atlanta, GA 30315"                           ,"389000"   ,"3"   ,"3"    ,"2200"    ,"Atlanta"              ,"30315"
"27"    ,"65447122"   ,"4960 Highland Lake Dr, Atlanta, GA 30349"                          ,"560000"   ,"5"   ,"5"    ,"2958"    ,"Atlanta"              ,"30349"
"28"    ,"2061780471" ,"508 Broadview Pl NE, Atlanta, GA 30324"                            ,"575000"   ,"3"   ,"3"    ,"2532"    ,"Atlanta"              ,"30324"
"29"    ,"35873400"   ,"3565 Glenview Cir SW, Atlanta, GA 30331"                           ,"259900"   ,"2"   ,"2"    ,"1125"    ,"Atlanta"              ,"30331"
