"Address","lon","lat","address"
"3878 Marine Ave, Saint Louis, MO 63118",-90.2220663,38.5833288,"3878 marine ave, st. louis, mo 63118, usa"
"12167 Northlawn St, Detroit, MI 48204",-83.1529859,42.3782757,"12167 northlawn st, detroit, mi 48204, usa"
"14130 Sorrento St, Detroit, MI 48227",-83.1719135,42.3904986,"14130 sorrento ave, detroit, mi 48227, usa"
"5811 Theodore Ave, Saint Louis, MO 63120",-90.2546514,38.701495,"5811 theodore ave, st. louis, mo 63120, usa"
"8101 Montlieu St, Detroit, MI 48234",-83.0215475,42.4103284,"8101 montlieu ave, detroit, mi 48234, usa"
"4877 Carter Ave, Saint Louis, MO 63115",-90.242253,38.683527,"4877 carter ave, st. louis, mo 63115, usa"
"5736 Saint Louis Ave, Saint Louis, MO 63120",-90.2731737,38.6792243,"5736 st louis ave, st. louis, mo 63120, usa"
"1946 E Warne Ave, Saint Louis, MO 63107",-90.2148767,38.6762438,"1946 e warne ave, st. louis, mo 63107, usa"
"4820 Anderson Ave, Saint Louis, MO 63115",-90.2415628,38.6807675,"4820 anderson ave, st. louis, mo 63115, usa"
"4228 Page Blvd, Saint Louis, MO 63113",-90.2414161,38.6518144,"4228 e page blvd, st. louis, mo 63113, usa"
"5021 Davison Ave, Saint Louis, MO 63120",-90.251058,38.6940939,"5021 davison ave, st. louis, mo 63120, usa"
"5662 Acme Ave, Saint Louis, MO 63136",-90.257145,38.7114758,"5662 acme ave, st. louis, mo 63136, usa"
"5368 Maffitt Ave, Saint Louis, MO 63112",-90.2653602,38.673264,"5368 maffitt ave, st. louis, mo 63112, usa"
"4674 Palm St, Saint Louis, MO 63115",-90.2443409,38.6720717,"4674 palm st, st. louis, mo 63115, usa"
"4828 Anderson Ave, Saint Louis, MO 63115",-90.2417827,38.6808899,"4828 anderson ave, st. louis, mo 63115, usa"
"4225 W Kossuth Ave, Saint Louis, MO 63115",-90.2315596,38.6726113,"4225 kossuth ave, st. louis, mo 63115, usa"
"3118 Whittier St, Saint Louis, MO 63115",-90.2311959,38.6635964,"3118 whittier st, st. louis, mo 63115, usa"
"1632 Semple Ave, Saint Louis, MO 63112",-90.270569,38.6694848,"1632 semple ave, st. louis, mo 63112, usa"
"857 Nassau Dr, Saint Louis, MO 63147",-90.231117,38.7231923,"857 nassau dr, st. louis, mo 63147, usa"
"705 Thrush Ave, Saint Louis, MO 63147",-90.2283219,38.7103342,"705 thrush ave, st. louis, mo 63147, usa"
"5918 Hamilton Ter, Saint Louis, MO 63112",-90.2863738,38.6693552,"5918 hamilton terrace, st. louis, mo 63112, usa"
"8910 Halls Ferry Rd, Saint Louis, MO 63147",-90.2380805,38.7196594,"8910 halls ferry road, st. louis, mo 63147, usa"
"4115 Camellia Ave, Saint Louis, MO 63115",-90.2365136,38.6750557,"4115 camellia ave, st. louis, mo 63115, usa"
"8516 Lowell St, Saint Louis, MO 63147",-90.2276228,38.718492,"8516 lowell st, st. louis, mo 63147, usa"
"4233 W Lexington Ave, Saint Louis, MO 63115",-90.2322553,38.6666272,"4233 lexington ave, st. louis, mo 63115, usa"
"3019 Union Blvd, Saint Louis, MO 63115",-90.2610715,38.6757606,"3019 union blvd, st. louis, mo 63120, usa"
"615 Jackson St, Saint Louis, MO 63147",-90.2260129,38.7255524,"615 jackson st, st. louis, mo 63147, usa"
"4499A Lee Ave, Saint Louis, MO 63115",-90.2365492,38.6762348,"4499 lee ave, st. louis, mo 63115, usa"
"13271 Prest St, Detroit, MI 48227",-83.1971139,42.3848455,"13271 prest st, detroit, mi 48227, usa"
"3653 Marine Ave, Saint Louis, MO 63118",-90.2205733,38.5873807,"3653 marine ave, st. louis, mo 63118, usa"
"5571 Palm St, Saint Louis, MO 63120",-90.2666073,38.6820235,"5571 palm st, st. louis, mo 63120, usa"
"4023 Nebraska Ave, Saint Louis, MO 63118",-90.2348552,38.5826888,"4023 nebraska ave, st. louis, mo 63118, usa"
"8408 Church Rd, Saint Louis, MO 63147",-90.232812,38.7137876,"8408 church dr, st. louis, mo 63147, usa"
"4217 E Finney Ave, Saint Louis, MO 63113",-90.243557,38.6506572,"4217 finney ave, st. louis, mo 63113, usa"
"4740 Anderson Ave, Saint Louis, MO 63115",-90.2400905,38.6801232,"4740 anderson ave, st. louis, mo 63115, usa"
"4660 Cottage Ave, Saint Louis, MO 63113",-90.2497014,38.6644939,"4660 cottage ave, st. louis, mo 63113, usa"
"8421 Church Rd, Saint Louis, MO 63147",-90.2333251,38.7140321,"8421 church dr, st. louis, mo 63147, usa"
"4726 Michigan Ave, Saint Louis, MO 63111",-90.2404722,38.5704876,"4726 michigan ave, st. louis, mo 63111, usa"
